brick1.jpg
Crop  6 :   [12.9405, 0.2922, 0.0765, 0.1359, 0.143, 0.0317, 0.0135, 0.0327, 0.0216, 0.0185, 0.1142]
Crop  7 :   [11.9173, 0.6668, 0.0745, 0.1385, 0.1524, 0.0297, 0.0131, 0.0319, 0.0219, 0.0168, 0.104]
Crop  8 :   [12.2923, 0.6042, 0.0692, 0.136, 0.1389, 0.0292, 0.0122, 0.0305, 0.0207, 0.0155, 0.1058]
Crop  9 :   [10.8427, 0.8184, 0.0772, 0.1335, 0.1475, 0.0298, 0.013, 0.0301, 0.0208, 0.0172, 0.0961]
Crop  10 :   [12.0706, 0.6389, 0.0774, 0.1366, 0.1512, 0.0292, 0.0131, 0.0314, 0.0215, 0.0166, 0.101]
brick8.jpg
Crop  1 :   [12.3417, 0.4463, 0.0959, 0.1368, 0.1798, 0.0228, 0.0159, 0.0293, 0.0227, 0.0182, 0.0614]
Crop  2 :   [9.0323, 0.7368, 0.0925, 0.1425, 0.1529, 0.0227, 0.0148, 0.0274, 0.0234, 0.0161, 0.0712]
Crop  3 :   [8.1815, 0.8072, 0.0938, 0.1416, 0.1663, 0.0228, 0.0149, 0.0289, 0.0233, 0.0169, 0.0677]
Crop  4 :   [9.372, 0.6462, 0.1016, 0.1403, 0.1603, 0.0216, 0.0156, 0.0271, 0.0235, 0.0166, 0.0623]
Crop  5 :   [10.6925, 0.6216, 0.1053, 0.1411, 0.167, 0.0198, 0.016, 0.0273, 0.0234, 0.0173, 0.0562]
Crop  6 :   [10.3901, 0.551, 0.0955, 0.1395, 0.1647, 0.0221, 0.0153, 0.028, 0.0231, 0.0167, 0.0623]
Crop  7 :   [9.9657, 0.5522, 0.0981, 0.142, 0.1367, 0.0211, 0.0153, 0.0246, 0.0234, 0.0156, 0.0651]
Crop  8 :   [7.756, 0.8004, 0.0992, 0.1423, 0.1434, 0.0206, 0.0151, 0.0253, 0.0234, 0.016, 0.0625]
Crop  9 :   [11.4677, 0.6238, 0.0881, 0.1367, 0.161, 0.0184, 0.0139, 0.0247, 0.0215, 0.0151, 0.0478]
Crop  10 :   [13.9556, 0.3969, 0.0983, 0.1383, 0.165, 0.0185, 0.015, 0.0255, 0.0222, 0.0148, 0.048]
brick9.jpg
Crop  1 :   [2.5756, 0.9753, 0.1129, 0.1406, 0.1676, 0.0125, 0.0156, 0.0239, 0.0235, 0.0103, 0.0299]
Crop  2 :   [2.9829, 0.9554, 0.1124, 0.1467, 0.1649, 0.0135, 0.0156, 0.0238, 0.0245, 0.0112, 0.0337]
Crop  3 :   [2.869, 0.9934, 0.0835, 0.1331, 0.1293, 0.0108, 0.0116, 0.0194, 0.0197, 0.0082, 0.0273]
Crop  4 :   [2.497, 0.9819, 0.1201, 0.1447, 0.1875, 0.0136, 0.0165, 0.0262, 0.0246, 0.0116, 0.0319]
Crop  5 :   [3.25, 0.9419, 0.1091, 0.1445, 0.1644, 0.0136, 0.0153, 0.0239, 0.024, 0.0109, 0.0344]
Crop  6 :   [2.4234, 0.9661, 0.1119, 0.1496, 0.2099, 0.013, 0.0155, 0.029, 0.0255, 0.0112, 0.0346]
Crop  7 :   [3.2117, 0.9792, 0.1067, 0.1434, 0.1521, 0.014, 0.015, 0.0225, 0.0237, 0.0108, 0.0346]
Crop  8 :   [2.6573, 0.963, 0.1138, 0.1478, 0.1631, 0.0131, 0.0157, 0.0234, 0.0247, 0.0109, 0.0344]
Crop  9 :   [2.7994, 0.9613, 0.1079, 0.1403, 0.1545, 0.0127, 0.0151, 0.0225, 0.023, 0.0104, 0.034]
